"Source:","C:\Users\andre\OneDrive\Desktop\Smart_sip\Smart-Sip-HW\controller\Adafruit HUZZAH32 ESP32 Feather.kicad_sch"
"Date:","2024-01-29 12:56:19 AM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","116"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"R9","1","220OHM-0603-1/10W-1%","220OHM-0603-1/10W-1%","SparkFun_IMU_Breakout_ICM-20948:0603","","",""
"R13","1","10K","microbuilder_RESISTOR_4PACK","Adafruit HUZZAH32 ESP32 Feather:RESPACK_4X0603","","",""
"R26","1","20k","20KOHM1/10W1%(0603)","SparkFun_HX711_Load_Cell:0603-RES","","",""
"R27","1","8.2K","8.2KOHM-1/10W-5%(0603)","SparkFun_HX711_Load_Cell:0603-RES","","",""
"R28, R29","2","100","100OHM-1/10W-1%(0603)","SparkFun_HX711_Load_Cell:0603-RES","","",""
"R30","1","10K","10KOHM-1/10W-1%(0603)0603","SparkFun_HX711_Load_Cell:0603-RES","","",""
"SJ1","1","JUMPER-PAD-2-NC_BY_TRACE","JUMPER-PAD-2-NC_BY_TRACE","SparkFun_HX711_Load_Cell:PAD-JUMPER-2-NC_BY_TRACE_YES_SILK","","",""
"STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4","4","STAND-OFF","STAND-OFF","SparkFun_HX711_Load_Cell:STAND-OFF","","",""
"SW2","1","KMR2","microbuilder_SWITCH_TACT_SMT4.6X2.8","Adafruit HUZZAH32 ESP32 Feather:BTN_KMR2_4.6X2.8","","",""
"TP1","1","TEST-POINT3","TEST-POINT3","SparkFun_IMU_Breakout_ICM-20948:PAD.03X.03","","",""
"U1","1","ICM-20948","ICM-20948","SparkFun_IMU_Breakout_ICM-20948:QFN24-3X3","","",""
"U2","1","AP2112-3.3","microbuilder_VREG_SOT23-5","Adafruit HUZZAH32 ESP32 Feather:SOT23-5","","",""
"U3","1","MCP73831T-2ACI/OT","microbuilder_MCP73831/2","Adafruit HUZZAH32 ESP32 Feather:SOT23-5","","",""
"U4","1","V_REG_SP6214-1.8V","V_REG_SP6214-1.8V","SparkFun_IMU_Breakout_ICM-20948:SC70","","",""
"U5","1","OSHW-LOGOS","OSHW-LOGOS","SparkFun_HX711_Load_Cell:OSHW-LOGO-S","","",""
"U6","1","HX711HX711","HX711HX711","SparkFun_HX711_Load_Cell:SO16","","",""
"U$1","1","REVISION","REVISION","SparkFun_HX711_Load_Cell:REVISION","","",""
"U$31, U$32","2","MOUNTINGHOLE2.5","microbuilder_MOUNTINGHOLE2.5","Adafruit HUZZAH32 ESP32 Feather:MOUNTINGHOLE_2.5_PLATED","","",""
"U$34, U$35","2","FIDUCIAL_1MM","microbuilder_FIDUCIAL_1MM","Adafruit HUZZAH32 ESP32 Feather:FIDUCIAL_1MM","","",""
"X1","1","JSTPH","microbuilder_CON_JST_PH_2PIN","Adafruit HUZZAH32 ESP32 Feather:JSTPH2","","",""
"X2","1","ESP32_WROOM32_SKINNY","microbuilder_ESP32_WROOM32_SKINNY","Adafruit HUZZAH32 ESP32 Feather:WROOM32_SKINNY","","",""
"X4","1","20329","microbuilder_USB_MICRO_20329_V2","Adafruit HUZZAH32 ESP32 Feather:4UCONN_20329_V2","","",""
